C,epsilon,gamma,kernel,MSE
0.1,0.01,scale,linear,2.7525262472068468e-05
0.1,0.01,scale,rbf,5.2412349039975077e-05
0.1,0.01,scale,poly,0.00017764497632356783
0.1,0.01,auto,linear,2.7525262472068468e-05
0.1,0.01,auto,rbf,3.2445657775270557e-05
0.1,0.01,auto,poly,0.00010270585750975018
0.1,0.1,scale,linear,0.004938200021620124
0.1,0.1,scale,rbf,0.0003032101341751315
0.1,0.1,scale,poly,0.0021003459794281002
0.1,0.1,auto,linear,0.004938200021620124
0.1,0.1,auto,rbf,0.0048495750046039865
0.1,0.1,auto,poly,0.010027390848204382
1.0,0.01,scale,linear,3.026582202272241e-05
1.0,0.01,scale,rbf,0.0001243906606091023
1.0,0.01,scale,poly,0.00046302634220639105
1.0,0.01,auto,linear,3.026582202272241e-05
1.0,0.01,auto,rbf,3.590298295960018e-05
1.0,0.01,auto,poly,8.642467427762256e-05
1.0,0.1,scale,linear,0.005099622429052254
1.0,0.1,scale,rbf,0.0038121681418431
1.0,0.1,scale,poly,0.01131220031645479
1.0,0.1,auto,linear,0.005099622429052254
1.0,0.1,auto,rbf,0.004513843956838306
1.0,0.1,auto,poly,0.009960161209440474
10.0,0.01,scale,linear,3.1477323801149295e-05
10.0,0.01,scale,rbf,0.0002024791114682352
10.0,0.01,scale,poly,0.0007291639439903575
10.0,0.01,auto,linear,3.1477323801149295e-05
10.0,0.01,auto,rbf,7.789947326011317e-05
10.0,0.01,auto,poly,2.913107147821852e-05
10.0,0.1,scale,linear,0.005422350692780754
10.0,0.1,scale,rbf,0.00925268486006175
10.0,0.1,scale,poly,0.02148683102456018
10.0,0.1,auto,linear,0.005422350692780754
10.0,0.1,auto,rbf,0.008846910128621072
10.0,0.1,auto,poly,0.009695117947908635
100.0,0.01,scale,linear,3.104223230553671e-05
100.0,0.01,scale,rbf,0.0015516483149254213
100.0,0.01,scale,poly,0.0011179966581751028
100.0,0.01,auto,linear,3.104223230553671e-05
100.0,0.01,auto,rbf,0.00010669177601179505
100.0,0.01,auto,poly,4.654466528642943e-05
100.0,0.1,scale,linear,0.005395521865068298
100.0,0.1,scale,rbf,0.01998017534146207
100.0,0.1,scale,poly,0.13665339683221736
100.0,0.1,auto,linear,0.005395521865068298
100.0,0.1,auto,rbf,0.011503519947585793
100.0,0.1,auto,poly,0.006999669547237186
